Region,Channel,Channel Market,Genre,Channel Language,Brand,Viewing Minutes,Impact,Cost,Spots,Durations,OTS,Sync_Reach,Impressions,GRP
HSM,b4u music,HSM,Hindi Music FTA,hindi,godrej expert rich creme hair colour,7296912.01,12.8252,78780,65,1300,1.368,1.548,726.39,3.55
HSM,big magic,HSM,Hindi GEC FTA,hindi,garnier black naturals,2135295.72,76.71762795,797720,1350,30800,5.532,2.357,9813.52,57.42
HSM,big magic,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,2135295.72,66.3485,1852500,975,19500,2.504,2.811,5308.99,29.41
HSM,colors,HSM,Hindi GEC 1,hindi,garnier black naturals,46139497.66,767.7177831,28093750,1015,19375,7.04,15.964,111218.15,614.91
HSM,colors,HSM,Hindi GEC 1,hindi,godrej expert rich creme hair colour,46139497.66,245.1882,10966800,190,3800,2.996,8.096,24731.57,133.59
HSM,colors cineplex bollywood,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,10855341.22,206.187,609000,525,10500,1.998,5.52,11990.07,61.11
HSM,colors cineplex superhits,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,9996055.11,169.2425,3655180,895,17900,2.22,7.087,18466.61,91.9
HSM,colors hd,HSM,Hindi GEC HD,hindi,garnier black naturals,5134286.88,32.91289545,647915,265,2525,4.62,1.773,4260.44,26.28
HSM,colors rishtey,HSM,Hindi GEC FTA,hindi,garnier black naturals,10317868.73,388.2829392,7630630,2080,40675,7.288,7.826,54552.14,308.04
HSM,colors rishtey,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,10317868.73,216.8968,9643200,980,19600,4.578,4.904,20679.46,114.01
HSM,dangal,HSM,Hindi GEC FTA,hindi,garnier black naturals,16416433.06,294.3112541,8525492.5,1030,18725,7.306,7.065,45772.03,256.56
HSM,dangal,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,16416433.06,569.1034,21009900,1475,29500,8.662,7.676,62225.67,338.6
HSM,dangal 2,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,5472235.18,130.4789,2548630,805,16100,3.758,3.969,11546.84,67.17
HSM,goldmines,HSM,Hindi Movies FTA,hindi,garnier black naturals,20235313.78,549.2347649,7416890,1310,24175,3.206,12.205,51273.71,242.48
HSM,goldmines,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,20235313.78,349.9441,2519400,650,13000,2.214,7.796,22315.47,108.06
HSM,goldmines bollywood,HSM,Hindi Movies FTA,hindi,garnier black naturals,7985551.37,512.8014079,2427640,2280,44300,3.952,10.26,44471.07,233.92
HSM,goldmines movies,HSM,Hindi Movies,hindi,garnier black naturals,6184109.13,446.664888,2247360,2930,58525,4.526,9.281,43384.03,229.62
HSM,good news today,HSM,Hindi News FTA,hindi,godrej expert rich creme hair colour,1976583.79,49.3753,210990,195,3900,1.848,1.659,1722.26,10.09
HSM,ishara tv,HSM,Hindi GEC FTA,multi,garnier black naturals,695033.13,10.97261305,446250,930,21250,5.382,1.113,1404.65,7.53
HSM,manoranjan grand,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,2197290.5,6.2058,38280,110,2200,1.28,0.857,573.65,2.57
HSM,manoranjan tv,HSM,Hindi GEC FTA,hindi,garnier black naturals,4076273.54,29.39767615,516137.5,295,6575,1.73,1.75,2683.84,11.95
HSM,manoranjan tv,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,4076273.54,66.646,192280,460,9200,2.14,2.296,3953.26,17.52
HSM,mastiii,HSM,Hindi Music,hindi,godrej expert rich creme hair colour,4147984.39,110.8623,1000160,560,11200,2.81,3.301,6435.43,31.94
HSM,news 24,HSM,Hindi News FTA,hindi,godrej expert rich creme hair colour,1117371.33,8.9107,243020,145,2900,1.228,1.382,438.94,1.72
HSM,news nation,HSM,Hindi News FTA,hindi,godrej expert rich creme hair colour,1799349.07,46.1077,1073750,625,12500,1.444,2.171,2260.68,11.63
HSM,republic bharat,HSM,Hindi News FTA,hindi,godrej expert rich creme hair colour,3368101.79,3.8551,62400,30,600,0.922,1.412,189.83,0.96
HSM,shemaroo tv,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,6881631.26,239.8391,1338480,1170,23400,4.356,5.863,21257.61,134.57
HSM,shemaroo umang,HSM,Hindi GEC FTA,hindi,garnier black naturals,4591289.95,21.830872,695400,340,7600,3.774,1.949,3307.42,22.2
HSM,shemaroo umang,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,4591289.95,175.518,970220,1390,27800,5.29,4.394,17119.15,111.4
HSM,showbox,HSM,Hindi Music FTA,hindi,godrej expert rich creme hair colour,4311761.53,24.0388,138720,120,2400,1.298,1.657,1229.65,6.89
HSM,sony entertainment television,HSM,Hindi GEC 1,hindi,garnier black naturals,25567381.49,100.1830905,3104062.5,240,5375,2.176,5.728,15622.06,74.95
HSM,sony entertainment television,HSM,Hindi GEC 1,hindi,godrej expert rich creme hair colour,25567381.49,142.8037,4926600,230,4600,2.242,5.707,14205.55,70.93
HSM,sony max,HSM,Hindi Movies,hindi,garnier black naturals,15777056.68,205.1563444,5195482.5,550,12675,1.972,7.472,18775.45,91.36
HSM,sony max,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,15777056.68,22.117,537120,60,1200,1.312,1.707,1435.47,6.83
HSM,sony max 2,HSM,Hindi Movies,hindi,garnier black naturals,8119518.1,94.92682591,1265725,425,9850,1.73,4.361,8237.22,43.55
HSM,sony max 2,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,8119518.1,72.1631,691870,215,4300,1.644,2.886,4338.54,21.16
HSM,sony pal,HSM,Hindi GEC FTA,hindi,garnier black naturals,18408527.78,119.9005905,3244487.5,400,9025,2.444,7.004,16931.26,95.77
HSM,sony pal,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,18408527.78,434.9722,12636000,900,18000,4.384,10.341,43438.97,254.4
HSM,sony sab,HSM,Hindi GEC 2,hindi,garnier black naturals,53137516.27,340.9481628,11006550,405,9300,3.95,13.28,54676.36,300.07
HSM,sony sab,HSM,Hindi GEC 2,hindi,godrej expert rich creme hair colour,53137516.27,210.6601,4152320,160,3200,2.72,8.475,23369.22,130.88
HSM,sony sab hd,HSM,Hindi GEC 2 HD,hindi,garnier black naturals,1233581.97,4.853365127,0,185,4450,1.948,1.608,817.06,4.78
HSM,sony wah,HSM,Hindi Movies FTA,hindi,garnier black naturals,9614947.38,190.6297454,1817065,655,14725,2.4,5.979,16569.64,85.96
HSM,sony wah,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,9614947.38,364.8168,4323970,1115,22300,2.746,7.129,20425.14,107.83
HSM,star bharat,HSM,Hindi GEC 2,hindi,garnier black naturals,7969570.83,214.7834029,3455250,1550,25500,4.144,7.734,33109.65,177.77
HSM,star bharat,HSM,Hindi GEC 2,hindi,godrej expert rich creme hair colour,7969570.83,69.9973,3849360,430,8600,2.018,3.506,6739.11,36.5
HSM,star bharat hd,HSM,Hindi GEC 2 HD,hindi,garnier black naturals,358230.6,9.183092054,0,1465,22650,4.108,0.866,1637.73,10.32
HSM,star gold,HSM,Hindi Movies,hindi,garnier black naturals,17891397.54,309.2210144,11037100,815,18500,2.134,10.919,29050.99,150.35
HSM,star gold,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,17891397.54,328.8165,5306400,440,8800,1.972,8.718,19627.76,101.68
HSM,star gold 2,HSM,Hindi Movies,hindi,garnier black naturals,11636598.1,184.572325,3586995,835,17775,1.828,8.051,18069.53,93.72
HSM,star gold 2,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,11636598.1,217.0543,2049760,460,9200,1.902,6.13,13471.81,70.53
HSM,star gold romance,HSM,Hindi Movies,hindi,garnier black naturals,7888712.92,368.830431,6106637.5,2250,47375,3.558,9.047,34895.17,180.13
HSM,star gold romance,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,7888712.92,4.0807,196200,100,2000,1.4,0.964,270.41,1.64
HSM,star plus,HSM,Hindi GEC 1,hindi,garnier black naturals,60102675.06,941.2767056,30228570,1055,19350,9.13,16.272,137478.91,790.17
HSM,star plus,HSM,Hindi GEC 1,hindi,godrej expert rich creme hair colour,60102675.06,689.987,16648320,460,9200,5.606,13.684,70060.63,405.14
HSM,star plus hd,HSM,Hindi GEC 1  HD,hindi,garnier black naturals,4935743.11,40.2257961,172875,250,1250,6.09,1.943,5224.76,30.08
HSM,star plus hd,HSM,Hindi GEC 1  HD,hindi,godrej expert rich creme hair colour,4935743.11,20.07,590100,175,3500,2.374,2.037,1834.22,9.93
HSM,star utsav,HSM,Hindi GEC FTA,hindi,garnier black naturals,28250213.21,554.3305564,10215555,1210,20650,9.154,9.711,83257.86,469.26
HSM,star utsav,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,28250213.21,673.8965,7962400,925,18500,8.972,8.492,71206.76,403.59
HSM,star utsav movies,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,10761285.69,446.3299,2877420,1190,23800,2.476,9.491,26366.33,138.04
HSM,sun neo,HSM,Hindi GEC FTA,tamil,godrej expert rich creme hair colour,5306371.79,170.0687,946400,1300,26000,6.636,3.747,18842.01,119.54
HSM,sun neo hd,HSM,Hindi GEC 2 HD,tamil,godrej expert rich creme hair colour,162439,140.217,145600,1300,26000,6.276,1.03,562.29,3.62
HSM,the q,HSM,Hindi GEC FTA,hindi,godrej expert rich creme hair colour,1956876.85,13.7932,42630,245,4900,1.458,2.008,1431.11,8.36
HSM,zee action,HSM,Hindi Movies FTA,hindi,garnier black naturals,9869271.47,95.34514046,1168650,410,9275,1.642,4.874,9395.67,46.62
HSM,zee action,HSM,Hindi Movies FTA,hindi,godrej expert rich creme hair colour,9869271.47,405.0346,1135180,1345,26900,2.446,9.4,26392.33,131.57
HSM,zee bharat,HSM,Hindi News,hindi,godrej expert rich creme hair colour,526315.29,0.6529,9280,20,400,0.84,1.445,42.58,0.31
HSM,zee bollywood,HSM,Hindi Movies,hindi,garnier black naturals,9957989.14,65.58528715,1018640,265,5950,1.724,3.751,5897.6,29.91
HSM,zee bollywood,HSM,Hindi Movies,hindi,godrej expert rich creme hair colour,9957989.14,150.8169,1788010,445,8900,1.814,3.9,8487.44,41.17
